Name,Year,Episodes,Type,Rating,Image-src,Description,Name-href
11. Our Planet,2019–2023,12 eps,TV-PG,9.3,"https://m.media-amazon.com/images/M/MV5BZmM2OWEyN2EtZWY2NS00ZDA3LWFlNTAtNzUzMGQwZWVlZmE4XkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_QL75_UY207_CR3,0,140,207_.jpg","Explores and unravels the mystery of how and why animals migrate, showing some of the most dramatic and compelling stories in the natural world through spectacular and innovative cinematogra... Read all",https://www.imdb.com/title/tt9253866/?ref_=chttvtp_t_11
12. Cosmos,1980,13 eps,TV-PG,9.3,"https://m.media-amazon.com/images/M/MV5BM2YzYzc0OWUtNmIwZi00MTBlLThjYTgtYmU1ODlhMzdjMzdjXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_QL75_UX140_CR0,1,140,207_.jpg",Astronomer Carl Sagan leads us on an engaging guided tour of the various elements and cosmological theories of the universe.,https://www.imdb.com/title/tt0081846/?ref_=chttvtp_t_12
13. Game of Thrones,2011–2019,73 eps,TV-MA,9.2,"https://m.media-amazon.com/images/M/MV5BN2IzYzBiOTQtNGZmMi00NDI5LTgxMzMtN2EzZjA1NjhlOGMxXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_QL75_UX140_CR0,1,140,207_.jpg","Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for a millennia.",https://www.imdb.com/title/tt0944947/?ref_=chttvtp_t_13
14. The World at War,1973–1974,26 eps,TV-PG,9.2,"https://m.media-amazon.com/images/M/MV5BZTIwOWEyMjctMjQwNS00ODZiLThmMWEtYWQ1OWFiYzQ2OWYwXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_QL75_UX140_CR0,1,140,207_.jpg","A groundbreaking 26-part documentary series narrated by the actor Laurence Olivier about the deadliest conflict in history, World War II.",https://www.imdb.com/title/tt0071075/?ref_=chttvtp_t_14
15. Rick and Morty,2013–,63 eps,TV-MA,9.1,"https://m.media-amazon.com/images/M/MV5BZjRjOTFkOTktZWUzMi00YzMyLThkMmYtMjEwNmQyNzliYTNmXkEyXkFqcGdeQXVyNzQ1ODk3MTQ@._V1_QL75_UX140_CR0,1,140,207_.jpg",An animated series that follows the exploits of a super scientist and his not-so-bright grandson.,https://www.imdb.com/title/tt2861424/?ref_=chttvtp_t_15
16. Fullmetal Alchemist: Brotherhood,2009–2010,68 eps,TV-14,9.1,"https://m.media-amazon.com/images/M/MV5BZmEzN2YzOTItMDI5MS00MGU4LWI1NWQtOTg5ZThhNGQwYTEzXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_QL75_UY207_CR4,0,140,207_.jpg",Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.,https://www.imdb.com/title/tt1355642/?ref_=chttvtp_t_16
17. Bluey,2018–,171 eps,TV-Y,9.5,"https://m.media-amazon.com/images/M/MV5BMDBiNDI3YjQtNDdkNS00ZDliLTlmMmQtMDE4ZWM1ZGIyNjljXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_QL75_UX140_CR0,1,140,207_.jpg",The slice-of-life adventures of an Australian Blue Heeler Cattle Dog puppy as she has fun with her family and friends in everyday situations.,https://www.imdb.com/title/tt7678620/?ref_=chttvtp_t_17
18. The Last Dance,2020,10 eps,TV-MA,9.1,"https://m.media-amazon.com/images/M/MV5BY2U1ZTU4OWItNGU2MC00MTg1LTk4NzUtYTk3ODhjYjI0MzlmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX140_CR0,1,140,207_.jpg","Charting the rise of the 1990s Chicago Bulls, led by Michael Jordan, one of the most notable dynasties in sports history.",https://www.imdb.com/title/tt8420184/?ref_=chttvtp_t_18
19. Life,2009,11 eps,TV-G,9.1,"https://m.media-amazon.com/images/M/MV5BNjJhMTAxZjYtNWZkYy00Nzg1LTlkYjItZTNhZWRjNzkxMDg3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_QL75_UY207_CR3,0,140,207_.jpg",David Attenborough's legendary BBC crew explains and shows wildlife all over planet earth. From giving an overview of the challenges facing life to hunting the deep sea and various major evo... Read all,https://www.imdb.com/title/tt1533395/?ref_=chttvtp_t_19
20. The Twilight Zone,1959–1964,156 eps,TV-PG,9.1,"https://m.media-amazon.com/images/M/MV5BNTAzMDI5MzgtMGNkMC00MzllLWJhNjctNjA1NmViNGUxMzYxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX140_CR0,5,140,207_.jpg","Ordinary people find themselves in extraordinarily astounding situations, which they each try to solve in a remarkable manner.",https://www.imdb.com/title/tt0052520/?ref_=chttvtp_t_20
21. Sherlock,2010–2017,15 eps,TV-14,9.1,"https://m.media-amazon.com/images/M/MV5BMWEzNTFlMTQtMzhjOS00MzQ1LWJjNjgtY2RhMjFhYjQwYjIzXkEyXkFqcGdeQXVyNDIzMzcwNjc@._V1_QL75_UX140_CR0,1,140,207_.jpg","The quirky spin on Conan Doyle's iconic sleuth pitches him as a ""high-functioning sociopath"" in modern-day London. Assisting him in his investigations: Afghanistan War vet John Watson, who's... Read all",https://www.imdb.com/title/tt1475582/?ref_=chttvtp_t_21
22. The Vietnam War,2017,10 eps,TV-MA,9.1,"https://m.media-amazon.com/images/M/MV5BZmY2NGMyY2EtMjJiMS00MmFlLTk1MmItZDA1NTQ0ODg0MDA4XkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_QL75_UX140_CR0,1,140,207_.jpg",A comprehensive history of the United States' involvement in the bitterly divisive armed conflict in Southeast Asia.,https://www.imdb.com/title/tt1877514/?ref_=chttvtp_t_22
23. Batman: The Animated Series,1992–1995,85 eps,TV-PG,9,"https://m.media-amazon.com/images/M/MV5BOTM3MTRkZjQtYjBkMy00YWE1LTkxOTQtNDQyNGY0YjYzNzAzXkEyXkFqcGdeQXVyOTgwMzk1MTA@._V1_QL75_UX140_CR0,1,140,207_.jpg",The Dark Knight battles crime in Gotham City with occasional help from Robin and Batgirl.,https://www.imdb.com/title/tt0103359/?ref_=chttvtp_t_23
24. Scam 1992: The Harshad Mehta Story,2020,10 eps,TV-14,9.3,"https://m.media-amazon.com/images/M/MV5BNjgxZTMxNmQtZGFkZS00NDUyLTllMzYtOTE0ZjdlMjM1ZWU0XkEyXkFqcGdeQXVyMTAyMTE1MDA1._V1_QL75_UX140_CR0,1,140,207_.jpg","Set in 1980s and '90s Bombay, it follows the life of Harshad Mehta, a stockbroker who took the stock market to dizzying heights and his catastrophic downfall.",https://www.imdb.com/title/tt12392504/?ref_=chttvtp_t_24
25. Attack on Titan,2013–2023,98 eps,TV-MA,9.1,"https://m.media-amazon.com/images/M/MV5BNDFjYTIxMjctYTQ2ZC00OGQ4LWE3OGYtNDdiMzNiNDZlMDAwXkEyXkFqcGdeQXVyNzI3NjY3NjQ@._V1_QL75_UY207_CR7,0,140,207_.jpg","After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.",https://www.imdb.com/title/tt2560140/?ref_=chttvtp_t_25
26. Arcane,2021–,10 eps,TV-14,9,"https://m.media-amazon.com/images/M/MV5BYmU5OWM5ZTAtNjUzOC00NmUyLTgyOWMtMjlkNjdlMDAzMzU1XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX140_CR0,0,140,207_.jpg","Set in Utopian Piltover and the oppressed underground of Zaun, the story follows the origins of two iconic League Of Legends champions and the power that will tear them apart.",https://www.imdb.com/title/tt11126994/?ref_=chttvtp_t_26
27. The Office,2005–2013,188 eps,TV-14,9,"https://m.media-amazon.com/images/M/MV5BMDNkOTE4NDQtMTNmYi00MWE0LWE4ZTktYTc0NzhhNWIzNzJiXkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_QL75_UX140_CR0,1,140,207_.jpg","A mockumentary on a group of typical office workers, where the workday consists of ego clashes, inappropriate behavior, and tedium.",https://www.imdb.com/title/tt0386676/?ref_=chttvtp_t_27
28. The Blue Planet,2001,8 eps,TV-G,9,"https://m.media-amazon.com/images/M/MV5BMjI2NzVhM2UtODZlNS00Nzk1LTk4NDQtYTc0YWU4ODNlNGNjXkEyXkFqcGdeQXVyNjcwMzExMzU@._V1_QL75_UX140_CR0,1,140,207_.jpg","Mammoth series, five years in the making, taking a look at the rich tapestry of life in the world's oceans.",https://www.imdb.com/title/tt0296310/?ref_=chttvtp_t_28
29. Human Planet,2011,8 eps,TV-PG,9,"https://m.media-amazon.com/images/M/MV5BOTJmZjcwZDctODRkYi00MTJkLTgwYTYtMmUxYTgxOGU4ODg2XkEyXkFqcGdeQXVyMTUyNjc3NDQ4._V1_QL75_UX140_CR0,1,140,207_.jpg",A cinematic experience bringing you the most amazing human stories in the world. Humans and wildlife surviving in the most extreme environments on Earth,https://www.imdb.com/title/tt1806234/?ref_=chttvtp_t_29
30. Firefly,2002–2003,14 eps,TV-14,9,"https://m.media-amazon.com/images/M/MV5BOTcwNzkwMDItZmM1OC00MmQ2LTgxYjgtOTNiNDgxZDAxMjk0XkEyXkFqcGdeQXVyNDQ0MTYzMDA@._V1_QL75_UX140_CR0,1,140,207_.jpg","Five hundred years in the future, a renegade crew aboard a small spacecraft tries to survive as they travel the unknown parts of the galaxy and evade warring factions as well as authority ag... Read all",https://www.imdb.com/title/tt0303461/?ref_=chttvtp_t_30
31. Better Call Saul,2015–2022,63 eps,TV-MA,9,"https://m.media-amazon.com/images/M/MV5BZDA4YmE0OTYtMmRmNS00Mzk2LTlhM2MtNjk4NzBjZGE1MmIyXkEyXkFqcGdeQXVyMTMzNDExODE5._V1_QL75_UX140_CR0,1,140,207_.jpg",The trials and tribulations of criminal lawyer Jimmy McGill in the years leading up to his fateful run-in with Walter White and Jesse Pinkman.,https://www.imdb.com/title/tt3032476/?ref_=chttvtp_t_31
32. Frozen Planet,2011–2012,10 eps,TV-PG,9,"https://m.media-amazon.com/images/M/MV5BYjdlMGYwYWQtODVlMi00Y2I0LThiYzgtYTM0YmU5NzdhYTI0XkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_QL75_UX140_CR0,1,140,207_.jpg",Focuses on life and the environment in both the Arctic and Antarctic.,https://www.imdb.com/title/tt2092588/?ref_=chttvtp_t_32
33. Death Note,2006–2007,37 eps,TV-14,8.9,"https://m.media-amazon.com/images/M/MV5BNjRiNmNjMmMtN2U2Yi00ODgxLTk3OTMtMmI1MTI1NjYyZTEzXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_QL75_UX140_CR0,1,140,207_.jpg",An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.,https://www.imdb.com/title/tt0877057/?ref_=chttvtp_t_33
34. Clarkson's Farm,2021–,17 eps,TV-PG,9,"https://m.media-amazon.com/images/M/MV5BYWI5M2YyYmYtMzBkNy00YWYyLThjZGUtYzEyOTQxZDQyYmVhXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_QL75_UX140_CR0,1,140,207_.jpg",Follow Jeremy Clarkson as he attempts to run a farm in the countryside.,https://www.imdb.com/title/tt10541088/?ref_=chttvtp_t_34
35. The Civil War,1990,9 eps,TV-14,9.1,"https://m.media-amazon.com/images/M/MV5BZjE1ODNkYzctNjM0Ni00MmM3LTkyMjctZGRhYzA3YzhjMTFlXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_QL75_UX140_CR0,1,140,207_.jpg",A comprehensive survey of the American Civil War.,https://www.imdb.com/title/tt0098769/?ref_=chttvtp_t_35
36. Only Fools and Horses,1981–2003,64 eps,TV-PG,9,"https://m.media-amazon.com/images/M/MV5BYmI1NGIwNzYtOTVlMS00ZGYwLWE0ZTktYzVmMGVlMmRmN2QxXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_QL75_UY207_CR4,0,140,207_.jpg",Comedy that follows two brothers from London's rough Peckham estate as they wheel and deal through a number of dodgy deals and search for the big score that'll make them millionaires.,https://www.imdb.com/title/tt0081912/?ref_=chttvtp_t_36
37. Hunter x Hunter,2011–2014,148 eps,TV-14,9,"https://m.media-amazon.com/images/M/MV5BNGM0YTk3MWEtN2JlZC00ZmZmLWIwMDktZTMxZGE5Zjc2MGExXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_QL75_UY207_CR3,0,140,207_.jpg","Gon Freecss aspires to become a Hunter, an exceptional being capable of greatness. With his friends and his potential, he seeks out his father, who left him when he was younger.",https://www.imdb.com/title/tt2098220/?ref_=chttvtp_t_37
38. True Detective,2014–,25 eps,TV-MA,8.9,"https://m.media-amazon.com/images/M/MV5BMmRlYmE0Y2UtNDk2Yi00NzczLWEwZTEtZmE2OTcyYzcxYmU5XkEyXkFqcGdeQXVyNTMxMjgxMzA@._V1_QL75_UY207_CR4,0,140,207_.jpg","Seasonal anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law.",https://www.imdb.com/title/tt2356777/?ref_=chttvtp_t_38
39. Seinfeld,1989–1998,173 eps,TV-PG,8.9,"https://m.media-amazon.com/images/M/MV5BZjZjMzQ2ZmUtZWEyZC00NWJiLWFjM2UtMzhmYzZmZDcxMzllXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_QL75_UY207_CR3,0,140,207_.jpg",The continuing misadventures of neurotic New York City stand-up comedian Jerry Seinfeld and his equally neurotic New York City friends.,https://www.imdb.com/title/tt0098904/?ref_=chttvtp_t_39
40. Dekalog,1989–1990,10 eps,TV-MA,9,"https://m.media-amazon.com/images/M/MV5BNDgzZDVmZjYtYmNhNi00YTE0LWJmNDAtODZiNWIwMjJhZDhhXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_QL75_UX140_CR0,1,140,207_.jpg","Ten television drama films, each one based on one of the Ten Commandments.",https://www.imdb.com/title/tt0092337/?ref_=chttvtp_t_40
41. The Beatles: Get Back,2021,3 eps,PG-13,9,"https://m.media-amazon.com/images/M/MV5BNjMxMjE5ZTEtMjgyOC00ODM4LWJjZDAtMjcwZDBlNzZhZTkyXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX140_CR0,0,140,207_.jpg",Documentary about the music group The Beatles featuring in-studio footage that was shot in early 1969 for the 1970 feature film 'Let It Be.',https://www.imdb.com/title/tt9735318/?ref_=chttvtp_t_41
42. Persona,2018,12 eps,TV-MA,9,"https://m.media-amazon.com/images/M/MV5BOTJkNzJmYzgtZTZmNC00MTQ2LWE2ZGQtM2EyYjliNGViMTY5XkEyXkFqcGdeQXVyNDg4MjkzNDk@._V1_QL75_UY207_CR4,0,140,207_.jpg",A man diagnosed with Alzheimer's decides to punish criminals.,https://www.imdb.com/title/tt7920978/?ref_=chttvtp_t_42
43. Fargo,2014–2023,51 eps,TV-MA,8.9,"https://m.media-amazon.com/images/M/MV5BN2NiMGE5M2UtNWNlNC00N2Y4LTkwOWUtMDlkMzEwNTcyOTcyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UY207_CR1,0,140,207_.jpg","Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota.",https://www.imdb.com/title/tt2802850/?ref_=chttvtp_t_43
44. Cowboy Bebop,1998–1999,26 eps,TV-14,8.9,"https://m.media-amazon.com/images/M/MV5BZDEzMjlkNDgtZjhkNi00N2RlLWFhZTYtNDE5OTc2NjZkODJlXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_QL75_UY207_CR6,0,140,207_.jpg",The futuristic misadventures and tragedies of an easygoing bounty hunter and his partners.,https://www.imdb.com/title/tt0213338/?ref_=chttvtp_t_44
45. Nathan for You,2013–2017,32 eps,TV-14,8.9,"https://m.media-amazon.com/images/M/MV5BOGY4ZWM1MDUtZmM3MS00ZjAxLTkyYzMtMjgxODI1YzkzNGUwXkEyXkFqcGdeQXVyNzk2NzE5Mjk@._V1_QL75_UY207_CR8,0,140,207_.jpg","Nathan Fielder uses his business degree and life experiences to help real small businesses turn a profit. But because of his unorthodox approach, Nathan's genuine efforts to do good often dr... Read all",https://www.imdb.com/title/tt2297757/?ref_=chttvtp_t_45
46. Gravity Falls,2012–2016,41 eps,TV-Y7,8.9,"https://m.media-amazon.com/images/M/MV5BMTEzNDc3MDQ2NzNeQTJeQWpwZ15BbWU4MDYzMzUwMDIx._V1_QL75_UX140_CR0,5,140,207_.jpg","Twin siblings Dipper and Mabel Pines spend the summer at their great-uncle's tourist trap in the enigmatic Gravity Falls, Oregon.",https://www.imdb.com/title/tt1865718/?ref_=chttvtp_t_46
47. Last Week Tonight with John Oliver,2014–,330 eps,TV-MA,8.9,"https://m.media-amazon.com/images/M/MV5BNjRhYTgyZGEtOGU2YS00ZGM1LWIzODctZDhkNDBiYTFhZTYxXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_QL75_UX140_CR0,0,140,207_.jpg",Former Daily Show host and correspondent John Oliver brings his persona to this weekly news satire program.,https://www.imdb.com/title/tt3530232/?ref_=chttvtp_t_47
48. Succession,2018–2023,39 eps,TV-MA,8.9,"https://m.media-amazon.com/images/M/MV5BZTY0YjU0NTUtMGRmNS00NDMyLWI2MzYtNjM2MmM1M2FkMjkyXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_QL75_UX140_CR0,0,140,207_.jpg","The Roy family is known for controlling the biggest media and entertainment company in the world. However, their world changes when their father steps down from the company.",https://www.imdb.com/title/tt7660850/?ref_=chttvtp_t_48
49. When They See Us,2019,4 eps,TV-MA,8.9,"https://m.media-amazon.com/images/M/MV5BZmJjM2YzOWEtOTYxYi00YjhkLTliMzgtMTA2MTc0NDQ1MDM4XkEyXkFqcGdeQXVyODY5OTk4MA@@._V1_QL75_UX140_CR0,0,140,207_.jpg",Five teens from Harlem become trapped in a nightmare when they're falsely accused of a brutal attack in Central Park. Based on the true story.,https://www.imdb.com/title/tt7137906/?ref_=chttvtp_t_49
50. Friends,1994–2004,234 eps,TV-14,8.9,"https://m.media-amazon.com/images/M/MV5BNDVkYjU0MzctMWRmZi00NTkxLTgwZWEtOWVhYjZlYjllYmU4XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_QL75_UY207_CR1,0,140,207_.jpg",Follows the personal and professional lives of six twenty to thirty year-old friends living in the Manhattan borough of New York City.,https://www.imdb.com/title/tt0108778/?ref_=chttvtp_t_50
51. Apocalypse: The Second World War,2009,6 eps,TV-MA,9,"https://m.media-amazon.com/images/M/MV5BMzEyMmM1ZGMtZTgwMS00Y2Y4LTg0MTItMGRiZGE3YTVhYjU3L2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_QL75_UY207_CR8,0,140,207_.jpg","This six-part series traces the Second World War, from the rise of the Nazis to the surrender of the Japanese, with detailed portraits of key figures.",https://www.imdb.com/title/tt1508238/?ref_=chttvtp_t_51
52. Africa,2013,7 eps,TV-PG,8.9,"https://m.media-amazon.com/images/M/MV5BNDdkZGViNzctZTJkMy00N2ZmLTg4NTUtZWM3YTE3ZTE3NjYwXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_QL75_UX140_CR0,1,140,207_.jpg","Africa, the world's wildest continent. David Attenborough takes us on an awe-inspiring journey through one of the most diverse places in the world. We visit deserts, savannas, and jungles an... Read all",https://www.imdb.com/title/tt2571774/?ref_=chttvtp_t_52
53. TVF Pitchers,2015–2022,10 eps,TV-MA,9.1,"https://m.media-amazon.com/images/M/MV5BYzA2NGM5MjAtMGJhMC00ZmE3LWFmYmEtZTVjNjA0MzQ4YmI1XkEyXkFqcGdeQXVyMTIyNzY0NTMx._V1_QL75_UY207_CR13,0,140,207_.jpg",A story of trials and tribulations of four young entrepreneurs who quit their day jobs in order to pursue their start up venture.,https://www.imdb.com/title/tt4742876/?ref_=chttvtp_t_53
54. Taskmaster,2015–,139 eps,TV-14,9,"https://m.media-amazon.com/images/M/MV5BMTNlYzY0MTItZmI5Ni00ODEwLTkxNDktOTI3MGI1ODRmODJlXkEyXkFqcGdeQXVyMDE4MzA0NQ@@._V1_QL75_UX140_CR0,1,140,207_.jpg","Five comedians are set tasks challenging their creativity and wit. The tasks are supervised by Alex Horne but the Taskmaster, Greg Davies, always has the final word.",https://www.imdb.com/title/tt4934214/?ref_=chttvtp_t_54
55. It's Always Sunny in Philadelphia,2005–,172 eps,TV-MA,8.8,"https://m.media-amazon.com/images/M/MV5BZDc4NjU1MmMtZjIzNy00MWRhLWI4ZjUtYjY4YmFlY2NjMzA0XkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_QL75_UY207_CR1,0,140,207_.jpg",Five friends with big egos and small brains are the proprietors of an Irish pub in Philadelphia.,https://www.imdb.com/title/tt0472954/?ref_=chttvtp_t_55
56. Monty Python's Flying Circus,1969–1974,45 eps,TV-14,8.8,"https://m.media-amazon.com/images/M/MV5BZGI1N2FiYTYtOWU3Mi00MjBlLWJkMGMtMjZmZTQwMDdiYjY3XkEyXkFqcGdeQXVyMTIwMjIwNjQ2._V1_QL75_UY207_CR17,0,140,207_.jpg",The original surreal sketch comedy showcase for the Monty Python troupe.,https://www.imdb.com/title/tt0063929/?ref_=chttvtp_t_56
57. As If,2021–,42 eps,TV-14,9,"https://m.media-amazon.com/images/M/MV5BZTUzZjU0M2MtZGFmYy00ZWU0LWJjZGUtOGJlMTI4MWI4ZDUxXkEyXkFqcGdeQXVyNDg4MjkzNDk@._V1_QL75_UY207_CR13,0,140,207_.jpg",Yilmaz and Ilkkan are two friends who are constantly fighting each other. Their greatest feature is always being able to do something that will turn their ordinary lives upside down.,https://www.imdb.com/title/tt13675832/?ref_=chttvtp_t_57
58. The West Wing,1999–2006,155 eps,TV-MA,8.9,"https://m.media-amazon.com/images/M/MV5BNjk3ZWE3ZDctN2Q1YS00NzNhLWFjNmYtZTkwYWQxZmQ3NzM3XkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_QL75_UX140_CR0,1,140,207_.jpg",Inside the lives of staffers in the West Wing of the White House.,https://www.imdb.com/title/tt0200276/?ref_=chttvtp_t_58
59. Das Boot,1985,3 eps,TV-MA,8.8,"https://m.media-amazon.com/images/M/MV5BNTBhZTQzZGEtZmRiOS00MzAwLWI5MzQtYTc1YTRhMzU3NzQ5XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UY207_CR4,0,140,207_.jpg",A World War II German U-Boat crew have a terrifying patrol mission in the early days of the war.,https://www.imdb.com/title/tt0081834/?ref_=chttvtp_t_59
60. Curb Your Enthusiasm,2000–,111 eps,TV-PG,8.8,"https://m.media-amazon.com/images/M/MV5BMzE3ZDA4OWItOGY2ZC00MzVmLTk0Y2QtNzEzMjc5YWI5ZWFiXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_QL75_UX140_CR0,0,140,207_.jpg",The life and times of Larry David and the predicaments he gets himself into with his friends and complete strangers.,https://www.imdb.com/title/tt0264235/?ref_=chttvtp_t_60
